User Id,,User Name,,User ScreenName,,User's Location,,Post was Created on,,Text Content,,Number of retweet
1034003100061851649,,b'Concerned Nigerian \xf0\x9f\x87\xb3\xf0\x9f\x87\xac',,b'brownedu_dcr',,u.y city,https://t.co/oDnjFjrVhV,,2018-08-27 09:02:04,,b'RT @cardinalswagg: So we have services like dis in Ghana and hanti b_moree still went from Berger to Ajah for preeq??? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 as3m ooh.. di\xe2\x80\xa6',,2
1035900763128705024,,b'Narcissus 3:11',,b'crusifixus',,Lagos,,,2018-09-01 14:42:42,,b'@BeulahOnoh \xf0\x9f\x98\xa2 dont know which is farther btw that and #bergertoajah',,0
1035287856607100928,,b'Sugar gurl',,b'thatdharmie_',,Somewhere....AFRICA,,,2018-08-30 22:07:14,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035278805244497920,,b'TT\xf0\x9f\x87\xb3\xf0\x9f\x87\xacUU\xf0\x9f\x87\xb3\xf0\x9f\x87\xacNN\xf0\x9f\x87\xb3\xf0\x9f\x87\xacMM\xf0\x9f\x87\xb3\xf0\x9f\x87\xacII\xf0\x9f\x87\xb3\xf0\x9f\x87\xacSS\xf0\x9f\x87\xb3\xf0\x9f\x87\xacEE kindly FB',,b'i_am_Tunmise',,Nigeria,,,2018-08-30 21:31:16,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035189727941586945,,b'Komna',,b'LanaAkintola',,"Ibadan, Nigeria",,,2018-08-30 15:37:18,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035181923994353664,,b'MikkyAyo',,b'MikkyAyooo',,Lagos Nigeria,,,2018-08-30 15:06:18,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035178688806051840,,b'Dharmie',,b'with_dharmie',,Somewhere in the world ,https://t.co/dMInUw3asD,,2018-08-30 14:53:26,,"b""To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a\xe2\x80\xa6 https://t.co/PsEaALVifw""",,4
1035031223800918021,,b'PH-CHRONICLES',,b'ralphibkabiola',,"Lagos, France",,,2018-08-30 05:07:28,,b'PortHarcourt twitter amd especially Lagos twitter..it is not everyday #bergertoAjah ... Come and see how our Arewa\xe2\x80\xa6 https://t.co/BOnXDoIzIq',,0
1034717007021846529,,b'\xe2\x99\xa5OJODU BOY\xe2\x99\xa5',,b'hardeboye_',,Ojodu Berger,,,2018-08-29 08:18:53,,b'@precious_chee This days you can randomly and casually have sex without strings and still be cool ..you know \xf0\x9f\x98\x92 \nSam\xe2\x80\xa6 https://t.co/zfSCmjJZZf',,0
1034102114438598661,,b'Boaz Abigail (Abbie)',,b'boazabbie',,Nigeria,,,2018-08-27 15:35:31,,"b""@investigaTHOR What just happened here? One of two things just happened here: it's either we will get a\xe2\x80\xa6 https://t.co/dysOr1IWWz""",,0
1034003100061851649,,b'Concerned Nigerian \xf0\x9f\x87\xb3\xf0\x9f\x87\xac',,b'brownedu_dcr',,u.y city,https://t.co/oDnjFjrVhV,,2018-08-27 09:02:04,,b'RT @cardinalswagg: So we have services like dis in Ghana and hanti b_moree still went from Berger to Ajah for preeq??? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 as3m ooh.. di\xe2\x80\xa6',,2
1033781860361555970,,b'Oluwadunmininu\xf0\x9f\x92\x8e\xf0\x9f\x92\xa5',,b'Omotanwa___',,Nigeria,,,2018-08-26 18:22:56,,b'@Rx_bolu @realdanielemeka #bergertoAjah pay self than sending nude',,0
1033295375178891264,,b'because_of_God_I',,b'Mustapha_obaje',,"nigeria,abuja",,,2018-08-25 10:09:49,,"b'@Twitter #EndSARS, #menarescum, #MenAreTrash, #bergertoajah of the few I can remember'",,0
1033051530864324609,,b'Kamasutra\xf0\x9f\x8d\x86',,b'yorubahd_boy',,"somewhere on earth , just ask",,,2018-08-24 18:00:52,,b'@blac_cappuccino How could she forget #bergertoajah so soon',,0
1032554710895665152,,b'Nwagu David',,b'NwaguDavid',,"Lagos, Nigeria",,,2018-08-23 09:06:41,,"b'RT @fkr_Ng: Plots of land for sale at Abijo GRA, Lekki, Ajah @ N2m/plot.\nCall 09099332368, 09099332367 for inquiries.\n#FKR #RealEstate #pro\xe2\x80\xa6'",,2
1032544347659673601,,b'FK Realtors',,b'fkr_Ng',,"VGC, Lekki, Lagos.",https://t.co/rUV2x3PYj1,,2018-08-23 08:25:30,,"b'Plots of land for sale at Abijo GRA, Lekki, Ajah @ N2m/plot.\nCall 09099332368, 09099332367 for inquiries.\n#FKR\xe2\x80\xa6 https://t.co/JAmPx7nUUY'",,2
1032542963618983937,,b'FK Realtors',,b'fkr_Ng',,"VGC, Lekki, Lagos.",https://t.co/rUV2x3PYj1,,2018-08-23 08:20:00,,"b""It's this NIGHT!\n\nThe #ThirdMainlandBridge will be temporarily shut down till Sunday.\nPlease make use of alternativ\xe2\x80\xa6 https://t.co/CGVJ2HSwUW""",,0
1035900763128705024,,b'Narcissus 3:11',,b'crusifixus',,Lagos,,,2018-09-01 14:42:42,,b'@BeulahOnoh \xf0\x9f\x98\xa2 dont know which is farther btw that and #bergertoajah',,0
1035287856607100928,,b'Sugar gurl',,b'thatdharmie_',,Somewhere....AFRICA,,,2018-08-30 22:07:14,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035278805244497920,,b'TT\xf0\x9f\x87\xb3\xf0\x9f\x87\xacUU\xf0\x9f\x87\xb3\xf0\x9f\x87\xacNN\xf0\x9f\x87\xb3\xf0\x9f\x87\xacMM\xf0\x9f\x87\xb3\xf0\x9f\x87\xacII\xf0\x9f\x87\xb3\xf0\x9f\x87\xacSS\xf0\x9f\x87\xb3\xf0\x9f\x87\xacEE kindly FB',,b'i_am_Tunmise',,Nigeria,,,2018-08-30 21:31:16,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035189727941586945,,b'Komna',,b'LanaAkintola',,"Ibadan, Nigeria",,,2018-08-30 15:37:18,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035181923994353664,,b'MikkyAyo',,b'MikkyAyooo',,Lagos Nigeria,,,2018-08-30 15:06:18,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035178688806051840,,b'Dharmie',,b'with_dharmie',,Somewhere in the world ,https://t.co/dMInUw3asD,,2018-08-30 14:53:26,,"b""To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a\xe2\x80\xa6 https://t.co/PsEaALVifw""",,4
1035031223800918021,,b'PH-CHRONICLES',,b'ralphibkabiola',,"Lagos, France",,,2018-08-30 05:07:28,,b'PortHarcourt twitter amd especially Lagos twitter..it is not everyday #bergertoAjah ... Come and see how our Arewa\xe2\x80\xa6 https://t.co/BOnXDoIzIq',,0
1034717007021846529,,b'\xe2\x99\xa5OJODU BOY\xe2\x99\xa5',,b'hardeboye_',,Ojodu Berger,,,2018-08-29 08:18:53,,b'@precious_chee This days you can randomly and casually have sex without strings and still be cool ..you know \xf0\x9f\x98\x92 \nSam\xe2\x80\xa6 https://t.co/zfSCmjJZZf',,0
1034102114438598661,,b'Boaz Abigail (Abbie)',,b'boazabbie',,Nigeria,,,2018-08-27 15:35:31,,"b""@investigaTHOR What just happened here? One of two things just happened here: it's either we will get a\xe2\x80\xa6 https://t.co/dysOr1IWWz""",,0
1034003100061851649,,b'Concerned Nigerian \xf0\x9f\x87\xb3\xf0\x9f\x87\xac',,b'brownedu_dcr',,u.y city,https://t.co/oDnjFjrVhV,,2018-08-27 09:02:04,,b'RT @cardinalswagg: So we have services like dis in Ghana and hanti b_moree still went from Berger to Ajah for preeq??? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 as3m ooh.. di\xe2\x80\xa6',,2
1033781860361555970,,b'Oluwadunmininu\xf0\x9f\x92\x8e\xf0\x9f\x92\xa5',,b'Omotanwa___',,Nigeria,,,2018-08-26 18:22:56,,b'@Rx_bolu @realdanielemeka #bergertoAjah pay self than sending nude',,0
1033295375178891264,,b'because_of_God_I',,b'Mustapha_obaje',,"nigeria,abuja",,,2018-08-25 10:09:49,,"b'@Twitter #EndSARS, #menarescum, #MenAreTrash, #bergertoajah of the few I can remember'",,0
1033051530864324609,,b'Kamasutra\xf0\x9f\x8d\x86',,b'yorubahd_boy',,"somewhere on earth , just ask",,,2018-08-24 18:00:52,,b'@blac_cappuccino How could she forget #bergertoajah so soon',,0
1032554710895665152,,b'Nwagu David',,b'NwaguDavid',,"Lagos, Nigeria",,,2018-08-23 09:06:41,,"b'RT @fkr_Ng: Plots of land for sale at Abijo GRA, Lekki, Ajah @ N2m/plot.\nCall 09099332368, 09099332367 for inquiries.\n#FKR #RealEstate #pro\xe2\x80\xa6'",,2
1032544347659673601,,b'FK Realtors',,b'fkr_Ng',,"VGC, Lekki, Lagos.",https://t.co/rUV2x3PYj1,,2018-08-23 08:25:30,,"b'Plots of land for sale at Abijo GRA, Lekki, Ajah @ N2m/plot.\nCall 09099332368, 09099332367 for inquiries.\n#FKR\xe2\x80\xa6 https://t.co/JAmPx7nUUY'",,2
1032542963618983937,,b'FK Realtors',,b'fkr_Ng',,"VGC, Lekki, Lagos.",https://t.co/rUV2x3PYj1,,2018-08-23 08:20:00,,"b""It's this NIGHT!\n\nThe #ThirdMainlandBridge will be temporarily shut down till Sunday.\nPlease make use of alternativ\xe2\x80\xa6 https://t.co/CGVJ2HSwUW""",,0
1034182582735446016,,b'GENE OACKLAND',,b'GENE_OACKLAND',,Nigeria,,,2018-08-27 20:55:16,,b'@AL_AMEEN_ @Refcount2007 @Ms_SexyNina @investigaTHOR Aiite \nEnjoy your new relationship\nCome back to give us gist\nR\xe2\x80\xa6 https://t.co/SdBvavmSjD',,0
1034003100061851649,,b'Concerned Nigerian \xf0\x9f\x87\xb3\xf0\x9f\x87\xac',,b'brownedu_dcr',,u.y city,https://t.co/oDnjFjrVhV,,2018-08-27 09:02:04,,b'RT @cardinalswagg: So we have services like dis in Ghana and hanti b_moree still went from Berger to Ajah for preeq??? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 as3m ooh.. di\xe2\x80\xa6',,2
1034182582735446016,,b'GENE OACKLAND',,b'GENE_OACKLAND',,Nigeria,,,2018-08-27 20:55:16,,b'@AL_AMEEN_ @Refcount2007 @Ms_SexyNina @investigaTHOR Aiite \nEnjoy your new relationship\nCome back to give us gist\nR\xe2\x80\xa6 https://t.co/SdBvavmSjD',,0
1034003100061851649,,b'Concerned Nigerian \xf0\x9f\x87\xb3\xf0\x9f\x87\xac',,b'brownedu_dcr',,u.y city,https://t.co/oDnjFjrVhV,,2018-08-27 09:02:04,,b'RT @cardinalswagg: So we have services like dis in Ghana and hanti b_moree still went from Berger to Ajah for preeq??? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 as3m ooh.. di\xe2\x80\xa6',,2
1035900763128705024,,b'Narcissus 3:11',,b'crusifixus',,Lagos,,,2018-09-01 14:42:42,,b'@BeulahOnoh \xf0\x9f\x98\xa2 dont know which is farther btw that and #bergertoajah',,0
1035287856607100928,,b'Sugar gurl',,b'thatdharmie_',,Somewhere....AFRICA,,,2018-08-30 22:07:14,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035278805244497920,,b'TT\xf0\x9f\x87\xb3\xf0\x9f\x87\xacUU\xf0\x9f\x87\xb3\xf0\x9f\x87\xacNN\xf0\x9f\x87\xb3\xf0\x9f\x87\xacMM\xf0\x9f\x87\xb3\xf0\x9f\x87\xacII\xf0\x9f\x87\xb3\xf0\x9f\x87\xacSS\xf0\x9f\x87\xb3\xf0\x9f\x87\xacEE kindly FB',,b'i_am_Tunmise',,Nigeria,,,2018-08-30 21:31:16,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035189727941586945,,b'Komna',,b'LanaAkintola',,"Ibadan, Nigeria",,,2018-08-30 15:37:18,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035181923994353664,,b'MikkyAyo',,b'MikkyAyooo',,Lagos Nigeria,,,2018-08-30 15:06:18,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035178688806051840,,b'Dharmie',,b'with_dharmie',,Somewhere in the world ,https://t.co/dMInUw3asD,,2018-08-30 14:53:26,,"b""To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a\xe2\x80\xa6 https://t.co/PsEaALVifw""",,4
1035031223800918021,,b'PH-CHRONICLES',,b'ralphibkabiola',,"Lagos, France",,,2018-08-30 05:07:28,,b'PortHarcourt twitter amd especially Lagos twitter..it is not everyday #bergertoAjah ... Come and see how our Arewa\xe2\x80\xa6 https://t.co/BOnXDoIzIq',,0
1034717007021846529,,b'\xe2\x99\xa5OJODU BOY\xe2\x99\xa5',,b'hardeboye_',,Ojodu Berger,,,2018-08-29 08:18:53,,b'@precious_chee This days you can randomly and casually have sex without strings and still be cool ..you know \xf0\x9f\x98\x92 \nSam\xe2\x80\xa6 https://t.co/zfSCmjJZZf',,0
1034102114438598661,,b'Boaz Abigail (Abbie)',,b'boazabbie',,Nigeria,,,2018-08-27 15:35:31,,"b""@investigaTHOR What just happened here? One of two things just happened here: it's either we will get a\xe2\x80\xa6 https://t.co/dysOr1IWWz""",,0
1034003100061851649,,b'Concerned Nigerian \xf0\x9f\x87\xb3\xf0\x9f\x87\xac',,b'brownedu_dcr',,u.y city,https://t.co/oDnjFjrVhV,,2018-08-27 09:02:04,,b'RT @cardinalswagg: So we have services like dis in Ghana and hanti b_moree still went from Berger to Ajah for preeq??? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 as3m ooh.. di\xe2\x80\xa6',,2
1033781860361555970,,b'Oluwadunmininu\xf0\x9f\x92\x8e\xf0\x9f\x92\xa5',,b'Omotanwa___',,Nigeria,,,2018-08-26 18:22:56,,b'@Rx_bolu @realdanielemeka #bergertoAjah pay self than sending nude',,0
1033295375178891264,,b'because_of_God_I',,b'Mustapha_obaje',,"nigeria,abuja",,,2018-08-25 10:09:49,,"b'@Twitter #EndSARS, #menarescum, #MenAreTrash, #bergertoajah of the few I can remember'",,0
1033051530864324609,,b'Kamasutra\xf0\x9f\x8d\x86',,b'yorubahd_boy',,"somewhere on earth , just ask",,,2018-08-24 18:00:52,,b'@blac_cappuccino How could she forget #bergertoajah so soon',,0
1032554710895665152,,b'Nwagu David',,b'NwaguDavid',,"Lagos, Nigeria",,,2018-08-23 09:06:41,,"b'RT @fkr_Ng: Plots of land for sale at Abijo GRA, Lekki, Ajah @ N2m/plot.\nCall 09099332368, 09099332367 for inquiries.\n#FKR #RealEstate #pro\xe2\x80\xa6'",,2
1032544347659673601,,b'FK Realtors',,b'fkr_Ng',,"VGC, Lekki, Lagos.",https://t.co/rUV2x3PYj1,,2018-08-23 08:25:30,,"b'Plots of land for sale at Abijo GRA, Lekki, Ajah @ N2m/plot.\nCall 09099332368, 09099332367 for inquiries.\n#FKR\xe2\x80\xa6 https://t.co/JAmPx7nUUY'",,2
1032542963618983937,,b'FK Realtors',,b'fkr_Ng',,"VGC, Lekki, Lagos.",https://t.co/rUV2x3PYj1,,2018-08-23 08:20:00,,"b""It's this NIGHT!\n\nThe #ThirdMainlandBridge will be temporarily shut down till Sunday.\nPlease make use of alternativ\xe2\x80\xa6 https://t.co/CGVJ2HSwUW""",,0
1035900763128705024,,b'Narcissus 3:11',,b'crusifixus',,Lagos,,,2018-09-01 14:42:42,,b'@BeulahOnoh \xf0\x9f\x98\xa2 dont know which is farther btw that and #bergertoajah',,0
1035287856607100928,,b'Sugar gurl',,b'thatdharmie_',,Somewhere....AFRICA,,,2018-08-30 22:07:14,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035278805244497920,,b'TT\xf0\x9f\x87\xb3\xf0\x9f\x87\xacUU\xf0\x9f\x87\xb3\xf0\x9f\x87\xacNN\xf0\x9f\x87\xb3\xf0\x9f\x87\xacMM\xf0\x9f\x87\xb3\xf0\x9f\x87\xacII\xf0\x9f\x87\xb3\xf0\x9f\x87\xacSS\xf0\x9f\x87\xb3\xf0\x9f\x87\xacEE kindly FB',,b'i_am_Tunmise',,Nigeria,,,2018-08-30 21:31:16,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035189727941586945,,b'Komna',,b'LanaAkintola',,"Ibadan, Nigeria",,,2018-08-30 15:37:18,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035181923994353664,,b'MikkyAyo',,b'MikkyAyooo',,Lagos Nigeria,,,2018-08-30 15:06:18,,"b""RT @with_dharmie: To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a femin\xe2\x80\xa6""",,4
1035178688806051840,,b'Dharmie',,b'with_dharmie',,Somewhere in the world ,https://t.co/dMInUw3asD,,2018-08-30 14:53:26,,"b""To me DJ cuppy haven't done anything wrong, everyone is entitled to their opinion. No be for here(twitter) we saw a\xe2\x80\xa6 https://t.co/PsEaALVifw""",,4
1035031223800918021,,b'PH-CHRONICLES',,b'ralphibkabiola',,"Lagos, France",,,2018-08-30 05:07:28,,b'PortHarcourt twitter amd especially Lagos twitter..it is not everyday #bergertoAjah ... Come and see how our Arewa\xe2\x80\xa6 https://t.co/BOnXDoIzIq',,0
1034717007021846529,,b'\xe2\x99\xa5OJODU BOY\xe2\x99\xa5',,b'hardeboye_',,Ojodu Berger,,,2018-08-29 08:18:53,,b'@precious_chee This days you can randomly and casually have sex without strings and still be cool ..you know \xf0\x9f\x98\x92 \nSam\xe2\x80\xa6 https://t.co/zfSCmjJZZf',,0
1034102114438598661,,b'Boaz Abigail (Abbie)',,b'boazabbie',,Nigeria,,,2018-08-27 15:35:31,,"b""@investigaTHOR What just happened here? One of two things just happened here: it's either we will get a\xe2\x80\xa6 https://t.co/dysOr1IWWz""",,0
1034003100061851649,,b'Concerned Nigerian \xf0\x9f\x87\xb3\xf0\x9f\x87\xac',,b'brownedu_dcr',,u.y city,https://t.co/oDnjFjrVhV,,2018-08-27 09:02:04,,b'RT @cardinalswagg: So we have services like dis in Ghana and hanti b_moree still went from Berger to Ajah for preeq??? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 as3m ooh.. di\xe2\x80\xa6',,2
1033781860361555970,,b'Oluwadunmininu\xf0\x9f\x92\x8e\xf0\x9f\x92\xa5',,b'Omotanwa___',,Nigeria,,,2018-08-26 18:22:56,,b'@Rx_bolu @realdanielemeka #bergertoAjah pay self than sending nude',,0
1033295375178891264,,b'because_of_God_I',,b'Mustapha_obaje',,"nigeria,abuja",,,2018-08-25 10:09:49,,"b'@Twitter #EndSARS, #menarescum, #MenAreTrash, #bergertoajah of the few I can remember'",,0
1033051530864324609,,b'Kamasutra\xf0\x9f\x8d\x86',,b'yorubahd_boy',,"somewhere on earth , just ask",,,2018-08-24 18:00:52,,b'@blac_cappuccino How could she forget #bergertoajah so soon',,0
1032554710895665152,,b'Nwagu David',,b'NwaguDavid',,"Lagos, Nigeria",,,2018-08-23 09:06:41,,"b'RT @fkr_Ng: Plots of land for sale at Abijo GRA, Lekki, Ajah @ N2m/plot.\nCall 09099332368, 09099332367 for inquiries.\n#FKR #RealEstate #pro\xe2\x80\xa6'",,2
